lat,lon,ele
-33.429202193,-70.69474582,515.861
-33.425879491,-70.689012554,521.166
-33.424459917,-70.684754226,521.049
-33.423726702,-70.683324872,522.645
-33.42147991,-70.680435676,526.722
-33.418451992,-70.677515371,527.087
-33.415845264,-70.673677542,527.0
-33.413646424,-70.66938807,528.254
-33.411825949,-70.66557917,528.036
-33.410740292,-70.663199718,530.491
-33.409635606,-70.661287761,533.126
-33.408555003,-70.658447646,531.672
-33.407459439,-70.656072647,532.708
-33.406374805,-70.653233431,530.575
-33.406041212,-70.651357082,531.526
-33.405302777,-70.649929198,531.678
-33.404621084,-70.646641004,530.0
-33.403548555,-70.643335876,525.786
-33.403228872,-70.640993899,526.0
-33.402113419,-70.639083318,524.726
-33.40215598,-70.637688061,522.923
-33.401040292,-70.635777066,522.542
-33.401807752,-70.636275956,523.407
-33.403662101,-70.639615521,527.912
-33.404386633,-70.641509097,527.433
-33.405068478,-70.644797492,529.933
-33.405778588,-70.647155644,531.24
-33.406516947,-70.648583611,532.954
-33.407603028,-70.651422708,532.923
-33.409453132,-70.654759445,534.0
-33.410563199,-70.656669042,536.019
-33.412437786,-70.659076281,537.325
-33.413562312,-70.660520452,537.671
